Sex,Length,Width,Height,Weight,Non_Shell Weight,Intestine Weight,Shell Weight,Stage of Life
F,0.3786941590166475,0.4082309729511337,0.0974991981940746,0.5214994710086265,0.2435313417010047,0.3594118416982913,0.2513962746398328,Child
F,0.7609354210677131,0.3397502677922706,0.1505640991653681,1.8038648745594636,0.1517761852214493,0.2909554727373277,0.285455963933831,Adult
M,0.4984896560884335,0.2377481646568494,0.1691516478016581,0.5361065529110332,0.0715365170076544,0.2014494510702067,0.0505435180986929,Adult
F,0.7118271406103931,0.355993482034059,0.1584043976320965,1.301177019623573,0.3281196628355171,0.1757041818379802,0.229656919436227,Adult
I,0.3577527442914691,0.4032164868150297,0.1968810010225015,0.0481021812698677,0.6782760536657505,0.1979067335150414,0.3153429463653812,Adult
F,0.3124092042541148,0.614610431474262,0.2112926355576648,1.0753838598634895,0.5864877923450285,0.0452163550425366,0.4261279406109673,Adole
M,0.4612486566897743,0.5783838665222444,0.170596791102547,1.3748396580379445,0.7278399663713284,0.390210485791801,0.419571592409605,Adole
I,0.3723705547981626,0.5789174251768716,0.1231997939736433,1.1378409220263943,0.2775591848258764,0.3327943441351186,0.3027621147459919,Adult
M,0.6844790720294605,0.3494352604739487,0.0672456298787293,1.00284367268387,0.6457339623433089,0.1803422061723522,0.086712550749167,Child
F,0.5073885935507949,0.2864563930403709,0.1012567085217686,0.8508551841733005,0.1524697929714951,0.3515244121891138,0.2564170375232299,Adult
I,0.6023416737773964,0.5979168886333316,0.2082842350785921,1.5570743760725718,0.1432701258586849,0.1521872226633202,0.0650676231933404,Adult
I,0.5115405843336718,0.6176071542977557,0.1770373981819726,0.4275618485901184,0.5133731546786378,0.1372770443114063,0.1061058726099642,Child
I,0.6607697651378537,0.4989736977689465,0.1083635038899783,1.811469399266734,0.0290415140258211,0.1696180879783485,0.2805405927011305,Adult
I,0.4449441231933354,0.4217455594151208,0.1365299948924159,0.1495449949651304,0.564209295749632,0.2449173512354037,0.1306904262620787,Adult
M,0.7635882700004426,0.4308423507523123,0.1440660727751951,0.5623030999694456,0.1644705036345911,0.1873872063849789,0.3929605014039191,Adult
I,0.3702818205945848,0.5770179843507779,0.1263243942173393,0.1694173162136228,0.8053648825906329,0.2324233959725413,0.2540998982245737,Adult
M,0.4248429935644263,0.422906312167802,0.0919322918436161,0.1979813643628614,0.1143274989174087,0.2781338871866506,0.1518237335892737,Adult
M,0.485289701860707,0.3157285452532991,0.199170664721963,0.0998890604262876,0.3030682446918798,0.0222214807631235,0.3731853729737393,Child
F,0.4800809598678031,0.4816064489962918,0.0853657711507493,0.1916617527541313,0.5309762284537801,0.0263546855110285,0.0737905124852525,Child
F,0.3162911049026273,0.453916637097113,0.2232858024388436,0.5128530030789156,0.0838016559299277,0.2696474443305796,0.040073346305029,Adult
F,0.6178472290770821,0.584330202984293,0.2146340120871935,1.7496649666656094,0.0474525609611403,0.3691742668527281,0.3356013043758363,Adult
I,0.6666956604926324,0.5291204295798202,0.1334415262744242,0.7706014956908185,0.2863394504514556,0.1356048906763689,0.1350989863440641,Adole
M,0.5170295555981607,0.3267736190696755,0.0729431453379655,1.4147746888463115,0.4752913135475563,0.1280193713037531,0.2488205919925553,Adult
M,0.2982515418268012,0.3861831258120826,0.1341168408194417,0.5086692428548187,0.693609737307874,0.3307930259873701,0.2445582173208519,Child
I,0.5721539652195807,0.4115267048932825,0.1667236960554064,1.5466802784886176,0.2465758900336149,0.3580648732462719,0.228896089918309,Adult
F,0.6875988548237688,0.4759957080212931,0.1825621484196358,1.8305410705209535,0.5304664109094352,0.340507574735469,0.1658923056525726,Adult
M,0.4872535260147375,0.5731589131083024,0.2022615562908054,1.7134799282726003,0.6969139885884243,0.0605830024543883,0.1626599578590365,Adult
I,0.7734588663423725,0.5856423215470619,0.1243021077610472,0.4363667920676443,0.5107318828086883,0.2142766649088115,0.2206504296062016,Child
F,0.4019721696883789,0.3905671595228093,0.1421077332037108,0.6152858177931382,0.6865434107618487,0.0754491494891493,0.1801799722117821,Child
F,0.4902744582550926,0.2518348637381208,0.2226050229081115,0.0723234112120962,0.7574079466303099,0.0373761472484442,0.0319949189982017,Child
I,0.7344024450267495,0.5691327342381762,0.1458586858595845,1.4676530482087276,0.6666491086883914,0.1102230376179782,0.389657958876079,Adult
M,0.4549751261334246,0.3865954408497049,0.1114587749810778,0.8123587099757215,0.0544877403587574,0.3653845628668397,0.2454799252696763,Adult
I,0.4668952214876731,0.4507907188429879,0.0648681064907079,0.824408912377998,0.0521407061779992,0.0177421855903503,0.0178133825332653,Adult
M,0.4201127933485232,0.4981913259827084,0.1719298564799939,0.3175736815907541,0.3484078443038526,0.0514503814384763,0.0048778034115491,Child
I,0.3094227817474129,0.4413068211438534,0.1738153186683528,0.5987552724507701,0.4117245222204416,0.1749864982005006,0.2602079555021767,Child
F,0.4637048093336256,0.5942397106664266,0.2090483999805664,0.712819376826316,0.5009829322003087,0.1461429110720077,0.1778448762227957,Child
F,0.5774276337952873,0.533389871374454,0.1930168709033175,0.6482677271304612,0.5166085155833933,0.3914802116287106,0.0238568482117773,Child
F,0.5913866229083015,0.4789976119808486,0.0683433779418328,1.72395150548574,0.3432083838998336,0.2564026553563391,0.3491945168301358,Adult
I,0.4680763902181971,0.3890144318537027,0.0980032678218495,1.083808766896185,0.6294832879236769,0.2298303763680018,0.0572913100889627,Adole
M,0.3433777789671964,0.3831295552057724,0.0956490063735736,0.5730612454517507,0.6422586406158581,0.342917922427762,0.1837617012770419,Child
M,0.6823578579431895,0.2806829692917184,0.1883319012851362,0.324499135088531,0.4996326489992463,0.3624590627794796,0.1749435645138793,Child
F,0.59741905496081,0.520724371848977,0.1675356756587981,0.8678940773485719,0.1284241026528219,0.2546055813828485,0.1760191314079197,Adult
M,0.4320520056887096,0.3217437912358963,0.1936877383495305,0.6419028022615207,0.6136366452604819,0.0309172996449769,0.350601331277147,Child
I,0.5941853980678393,0.2232140234410055,0.1179303388272479,0.8729567626764613,0.1684594087546974,0.3117046954695354,0.0150342138465049,Adult
F,0.3138751035711343,0.5190745966262559,0.1476734405168486,1.64339398733821,0.450096524797222,0.2256679986132679,0.2118489436410564,Adult
M,0.691013041156701,0.2757394356862792,0.1030149231416183,1.2174758062969016,0.0863142693307897,0.0662087989159883,0.2698929816899158,Adult
I,0.5049850276521634,0.3292682727780239,0.205446687445863,0.1876021531425225,0.0987814687774654,0.2799887159586938,0.104610623719741,Child
I,0.5742610603153888,0.5891561589930512,0.1086295423968712,1.7987851272508988,0.465212827755956,0.0887504778161035,0.3140519340749013,Adult
